,,Level,Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015)
07235,Trier-Saarburg,Landkreis,83.5,84.6,80.8,79.1,73.7,73.7,80.3,46.9,40.8,40.4,38.3,39.4,47.6,40.5,39.6,42.9,40.1,35.9,22.0,26.1,25.2,5.5,6.0,7.7,6.8,9.7,7.3,6.9,5.3,6.1,8.6,10.4,15.2,4.7,9.1,0.5,0.8,0.8,5.9,9.8,5.4,7.1,8.1,100.4,98.4,102.5,97.7,29.1,24.6,0.0,0.0,0.0,0.0,0.0,0.0,2100.5,1038.9,8.7,6.8
07311,"Frankenthal (Pfalz), Stadt",krsfr. Stadt,80.0,81.8,77.6,74.6,67.4,67.3,72.5,44.4,40.4,42.2,37.9,36.7,43.3,32.5,38.3,41.1,38.1,35.1,24.1,27.3,23.0,5.6,4.9,7.4,6.7,8.0,6.8,6.8,6.5,5.9,7.5,10.0,14.4,5.0,9.9,0.8,1.1,1.0,5.4,10.9,6.1,7.6,16.5,99.5,100.4,99.0,99.7,9.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,3180.7,1457.2,164.8,110.0
07312,"Kaiserslautern, Stadt",krsfr. Stadt,75.3,76.6,71.8,70.2,63.4,64.2,70.3,38.6,35.0,35.6,31.2,28.7,36.1,28.1,42.7,43.4,40.4,35.1,24.5,30.0,25.0,7.0,6.9,9.8,8.9,10.6,8.7,8.7,6.6,6.7,8.8,11.1,15.2,5.2,10.3,0.9,1.2,1.3,8.7,13.8,8.1,9.5,13.7,95.9,90.9,100.0,91.4,100.5,72.9,240.5,119.4,6.0,0.0,451.3,247.7,4261.5,2012.9,1896.9,933.1
07313,"Landau in der Pfalz, Stadt",krsfr. Stadt,79.4,80.3,77.5,74.8,68.1,69.9,76.9,41.2,35.1,36.8,32.8,30.3,36.8,30.4,38.3,39.0,37.1,32.8,23.1,26.5,21.1,8.9,10.3,11.9,11.3,14.5,13.4,14.3,7.6,8.4,9.4,13.1,16.9,6.5,10.0,0.8,1.2,1.3,5.6,9.2,5.7,9.3,10.0,98.5,95.3,100.5,97.0,75.1,22.6,0.0,0.0,0.0,0.0,51.8,36.2,2637.0,1259.7,230.6,166.1
07314,"Ludwigshafen am Rhein, Stadt",krsfr. Stadt,78.9,80.6,75.3,73.0,64.8,65.9,69.0,39.9,34.2,35.5,31.1,29.7,35.1,27.6,42.2,45.4,43.3,39.1,28.3,31.4,27.2,6.3,5.1,7.7,7.0,8.8,7.4,7.2,5.8,5.5,7.2,9.2,13.3,4.7,9.1,0.9,1.3,1.4,6.8,11.6,6.5,7.4,16.3,100.5,99.1,101.2,100.2,34.0,19.6,0.0,0.0,0.0,0.0,0.7,0.2,3981.9,1875.3,457.7,197.5
07315,"Mainz, kreisfreie Stadt",krsfr. Stadt,80.9,82.7,80.4,79.0,74.2,74.6,80.2,39.9,35.7,34.9,32.6,31.3,36.0,30.7,35.5,37.5,36.4,32.8,22.0,26.3,21.4,10.7,11.5,14.5,14.1,18.6,15.5,15.2,8.7,8.3,9.5,12.4,14.5,6.4,11.1,1.2,1.7,1.6,4.8,7.5,6.0,9.8,7.3,108.4,132.4,100.8,107.3,32.0,27.1,0.0,0.0,0.0,0.0,797.9,507.5,2651.6,1249.4,1496.6,808.1
07316,"Neustadt an der Weinstraße, Stadt",krsfr. Stadt,81.8,82.6,80.1,78.0,71.6,73.1,77.8,47.8,44.1,43.2,40.2,38.3,44.5,35.5,32.7,33.9,33.2,30.0,20.4,24.2,20.1,7.0,7.6,10.4,9.2,11.5,10.0,10.0,7.5,7.6,8.8,11.8,16.4,6.0,10.9,0.8,1.0,1.1,4.7,7.5,4.8,5.8,12.0,99.7,99.3,99.7,100.0,48.5,16.2,0.0,0.0,0.0,0.0,3.7,2.6,3084.8,1447.9,132.7,71.9
07317,"Pirmasens, Stadt",krsfr. Stadt,73.0,76.0,70.2,69.4,61.6,62.0,67.1,40.4,36.5,40.5,34.2,31.7,40.7,31.2,44.5,44.2,38.9,32.7,23.6,29.7,26.2,4.7,4.0,5.2,4.6,6.3,3.6,4.0,5.4,5.6,7.8,9.8,14.7,5.0,9.5,0.6,1.1,1.2,9.7,15.0,7.6,8.0,16.1,90.9,65.9,101.8,93.3,126.9,19.8,281.1,98.2,48.0,48.0,0.0,0.0,5487.8,2522.2,127.6,57.9
07318,"Speyer, Stadt",krsfr. Stadt,78.7,80.7,77.6,74.7,68.3,70.4,75.4,43.2,38.7,38.4,34.5,32.8,40.1,32.0,36.9,38.1,37.0,33.4,22.0,25.7,21.6,7.7,7.2,10.7,10.1,13.2,10.4,10.8,6.4,6.2,8.0,10.6,15.0,5.0,10.0,1.0,1.4,1.4,5.7,10.0,6.7,8.1,13.5,101.9,108.7,100.1,100.4,60.4,41.3,0.0,0.0,0.0,0.0,7.2,3.9,3075.8,1368.9,61.2,27.0
07319,"Worms, Stadt",krsfr. Stadt,76.3,78.7,73.7,71.4,64.5,66.4,72.3,38.3,34.7,37.0,33.5,32.2,38.5,30.6,42.5,45.4,41.3,38.4,27.7,30.7,25.7,7.1,5.8,7.7,6.8,9.3,7.7,7.7,6.6,6.1,8.7,10.2,14.8,5.1,9.6,0.8,1.4,1.3,5.9,9.1,5.9,7.1,15.0,100.9,104.0,100.0,100.3,28.6,15.7,0.0,0.0,0.0,0.0,0.8,0.2,3683.3,1696.5,54.6,32.0
07320,"Zweibrücken, Stadt",krsfr. Stadt,77.8,80.3,74.0,71.0,65.5,63.8,70.5,35.5,32.6,34.4,29.8,27.5,37.2,30.2,47.6,48.4,42.8,37.0,25.4,31.2,26.3,4.7,4.8,7.0,6.2,8.3,6.3,6.0,6.9,6.1,9.3,10.4,14.8,4.9,9.1,0.8,1.1,1.5,11.5,16.2,8.2,9.4,14.5,94.9,76.7,101.2,98.9,80.3,44.0,360.1,178.6,0.0,0.0,2.6,1.1,3288.6,1510.9,280.5,145.0
07331,Alzey-Worms,Landkreis,82.7,84.3,80.8,79.2,73.0,73.1,79.7,36.8,33.1,35.5,33.1,31.7,39.1,32.2,43.7,45.9,42.1,38.6,27.8,30.6,26.3,7.4,6.1,7.6,6.7,9.4,7.8,7.3,7.6,8.1,10.1,11.6,16.0,6.1,10.4,0.6,1.1,0.9,5.2,8.4,4.8,6.1,13.8,99.1,96.0,102.4,95.0,26.1,18.9,0.0,0.0,0.0,0.0,0.0,0.0,2188.7,932.5,28.6,8.9
07332,Bad Dürkheim,Landkreis,83.3,84.5,81.2,80.2,74.5,74.3,80.3,42.8,38.0,38.0,36.0,34.6,43.0,34.8,38.5,40.8,38.2,35.3,24.3,27.9,23.5,6.4,6.0,8.6,7.3,8.9,7.4,7.9,7.8,8.1,10.2,12.0,17.4,6.1,11.7,0.5,0.9,1.0,4.9,8.6,4.5,5.6,12.4,99.2,98.6,99.8,98.5,36.4,13.4,0.0,0.0,0.0,0.0,0.0,0.0,2046.2,1033.2,59.8,18.1
07333,Donnersbergkreis,Landkreis,80.8,82.2,77.1,75.9,69.4,69.7,75.1,35.5,32.2,33.8,30.1,29.0,36.6,30.0,48.0,47.5,44.1,39.2,28.4,32.7,28.4,6.3,5.6,7.1,6.9,8.3,7.1,6.3,6.2,6.7,9.3,11.2,15.1,4.9,9.2,0.5,1.1,1.1,6.8,11.9,6.1,6.8,13.7,98.3,94.8,100.1,97.4,38.7,17.6,132.1,47.1,0.0,0.0,0.0,0.0,2529.7,1131.7,35.9,30.1
07334,Germersheim,Landkreis,82.8,84.3,80.2,77.9,70.7,71.2,77.5,45.4,40.2,41.9,37.7,35.2,44.0,34.6,37.2,38.7,36.6,33.1,23.0,26.0,21.8,5.9,5.6,6.9,6.9,8.8,7.0,6.8,6.3,6.3,9.0,11.4,16.5,5.6,10.4,0.5,0.8,0.8,4.7,8.5,4.6,5.9,16.3,99.0,98.2,99.7,98.2,18.9,16.7,0.0,0.0,0.0,0.0,0.6,0.6,2535.5,1195.0,24.5,18.0
07335,Kaiserslautern,Landkreis,82.1,82.7,79.1,77.7,70.6,71.5,75.8,42.6,37.7,39.5,35.6,33.5,41.8,33.5,43.4,44.2,40.3,35.4,25.3,29.8,25.9,4.8,4.5,6.5,5.9,7.4,5.9,5.6,4.8,5.5,8.3,10.1,14.7,4.4,8.5,0.5,0.9,0.9,7.7,12.5,6.6,7.2,14.0,94.6,75.8,100.6,99.7,17.1,11.7,241.0,60.1,28.5,0.0,0.0,0.0,2425.1,1108.7,46.0,29.2
07336,Kusel,Landkreis,80.9,82.2,76.6,75.8,70.4,71.0,75.8,30.1,26.6,29.3,25.5,25.3,32.9,28.1,55.6,55.4,50.8,43.2,30.5,36.4,32.4,4.8,4.6,6.1,5.5,7.4,5.8,5.0,4.5,4.9,7.5,8.9,12.2,3.6,7.5,0.5,1.0,1.2,11.5,17.8,9.1,8.0,14.0,92.2,70.3,100.3,96.8,38.9,22.2,79.3,9.5,9.4,0.0,0.0,0.0,2455.8,1000.9,30.9,25.1
07337,Südliche Weinstraße,Landkreis,83.7,84.4,81.7,79.5,73.6,73.9,79.8,46.1,40.7,41.4,38.1,34.8,43.5,36.8,36.2,37.1,35.6,32.0,22.3,25.9,22.3,6.7,7.2,8.2,7.9,10.1,8.1,8.4,7.0,8.0,9.8,12.5,17.9,6.7,10.3,0.5,0.8,1.0,4.7,8.5,4.7,5.9,12.2,97.6,92.1,99.6,98.1,21.3,7.9,0.0,0.0,0.0,0.0,1.9,1.5,2158.2,1040.8,44.2,24.3
07338,Rhein-Pfalz-Kreis,Landkreis,85.9,87.6,83.7,82.5,75.6,77.0,80.9,45.7,39.9,40.2,37.3,35.7,43.7,35.5,36.3,39.7,37.8,34.2,24.0,26.2,21.8,6.2,5.5,8.0,7.3,9.0,7.6,7.9,7.2,6.9,9.3,11.8,16.8,5.7,11.2,0.5,0.9,0.8,4.6,8.1,4.3,5.5,13.8,100.3,103.3,99.7,99.1,6.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1763.5,812.2,32.6,18.5
07339,Mainz-Bingen,Landkreis,84.1,85.3,82.9,81.5,76.2,77.4,81.9,41.4,36.5,36.9,35.1,34.4,41.3,35.4,38.3,40.8,38.9,34.7,24.4,27.2,23.1,8.0,7.8,9.9,9.2,12.3,10.1,10.0,8.5,9.0,10.5,13.3,16.4,6.6,11.5,0.8,1.2,1.1,4.4,7.3,4.8,6.6,9.8,100.9,106.1,100.6,97.4,36.0,20.2,0.0,0.0,0.0,0.0,0.6,0.5,1949.9,856.3,88.7,39.5
07340,Südwestpfalz,Landkreis,84.0,84.8,80.6,79.4,73.8,74.3,79.1,46.1,40.5,44.3,39.1,36.7,46.0,38.7,38.6,41.0,35.1,30.8,21.5,26.5,24.0,4.7,4.2,5.6,4.9,6.4,4.5,4.3,6.2,6.0,9.1,11.4,16.1,5.5,9.2,0.4,0.8,0.9,7.8,12.2,5.7,6.3,12.9,92.8,71.5,100.0,98.3,28.5,9.8,156.1,101.1,33.3,19.7,0.0,0.0,2148.4,972.9,28.7,18.3
08111,Stuttgart,krsfr. Stadt,79.7,82.2,80.2,78.2,73.6,76.0,79.1,36.4,32.2,35.1,32.7,28.5,38.3,29.0,30.9,36.6,35.7,32.0,19.8,21.9,15.7,13.1,13.1,16.2,15.0,20.1,15.8,17.6,12.5,10.6,8.5,12.8,18.4,7.5,15.2,1.2,1.2,1.4,4.4,7.8,6.4,9.2,8.8,109.8,145.0,100.7,104.9,48.7,27.7,0.0,0.0,0.0,0.0,259.8,128.2,3786.5,1470.9,1744.1,683.8
08115,Böblingen,Landkreis,81.4,84.3,82.6,80.6,74.6,76.6,79.5,42.7,37.7,42.1,39.0,33.9,46.9,35.4,29.0,35.1,33.1,29.3,19.1,19.9,15.4,10.2,8.9,11.4,10.4,13.9,10.4,12.7,11.8,10.3,8.9,14.1,21.0,7.2,15.2,0.7,0.9,0.8,3.0,6.1,4.3,5.3,11.7,104.5,121.4,100.2,100.6,31.4,15.7,0.0,0.0,0.0,0.0,0.0,0.0,2755.6,969.7,153.6,64.1
08116,Esslingen,Landkreis,81.7,84.6,82.9,80.9,75.0,77.0,80.1,42.3,37.3,41.6,38.4,33.5,45.4,33.5,30.3,35.8,34.2,30.4,19.8,20.9,15.9,9.8,9.3,11.7,11.3,15.3,11.9,14.4,11.4,9.2,8.0,12.6,19.6,6.5,14.4,0.6,0.7,0.8,3.0,5.9,4.3,5.8,11.7,103.2,116.4,99.9,100.2,27.9,19.7,0.0,0.0,0.0,0.0,2.3,1.1,2752.0,1104.0,271.6,102.3
08117,Göppingen,Landkreis,78.7,82.1,80.3,77.4,70.9,73.2,76.2,41.3,34.9,42.1,38.0,33.1,45.8,33.3,33.9,39.0,35.6,31.5,20.7,21.7,17.6,7.7,7.4,10.2,9.5,13.3,10.1,12.3,10.0,9.1,7.5,12.3,19.1,5.8,12.6,0.5,0.7,0.7,4.0,7.3,4.2,5.1,14.7,99.8,100.0,99.8,99.5,48.5,36.9,0.0,0.0,0.0,0.0,0.0,0.0,3227.2,1264.4,52.2,20.7
08118,Ludwigsburg,Landkreis,81.1,84.2,82.9,80.3,74.7,76.9,79.9,40.0,34.8,39.8,36.7,32.7,44.5,33.1,31.1,37.2,35.2,32.2,20.3,21.4,16.6,10.1,9.1,12.1,10.6,14.8,11.5,13.8,12.0,10.1,8.2,12.7,19.6,6.6,14.4,0.7,1.0,0.9,3.5,6.7,4.5,5.8,11.9,104.4,123.5,99.8,99.8,50.4,32.3,0.0,0.0,0.0,0.0,1.6,1.1,2602.6,1125.3,214.2,93.6
08119,Rems-Murr-Kreis,Landkreis,79.5,82.9,81.3,79.3,72.9,75.7,78.7,41.2,35.6,41.7,38.7,33.2,45.5,32.9,30.0,35.7,33.4,29.7,19.5,20.1,16.0,9.3,8.9,11.8,10.8,13.9,10.1,12.0,11.4,10.3,8.5,13.1,20.5,7.5,15.5,0.7,0.8,0.8,3.3,6.4,4.5,5.6,13.7,102.7,114.4,99.6,100.0,46.3,22.6,0.0,0.0,0.0,0.0,0.0,0.0,2788.7,1150.6,270.4,72.7
08121,Heilbronn,krsfr. Stadt,76.9,80.0,76.3,72.8,66.0,67.7,72.0,38.6,34.3,41.2,36.9,32.9,42.5,29.0,36.5,39.2,37.6,34.0,22.7,23.3,18.5,8.0,7.2,8.6,8.2,10.8,9.4,11.2,9.0,9.0,7.8,12.0,18.7,6.9,13.4,0.7,1.0,1.0,4.3,8.2,5.8,6.9,16.4,103.4,111.2,101.4,101.5,84.1,52.4,0.0,0.0,0.0,0.0,1.2,0.5,3825.1,1737.5,320.7,109.0
08125,Heilbronn,Landkreis,78.7,83.1,81.2,78.3,72.0,74.2,78.5,41.2,36.4,43.8,40.3,35.0,46.7,33.2,33.1,36.0,34.3,31.3,20.1,21.1,16.9,7.9,7.3,8.5,7.5,10.5,8.6,10.7,10.1,9.8,8.4,12.2,20.5,6.6,13.8,0.6,0.9,0.8,3.5,6.7,4.2,5.1,15.7,99.7,97.6,100.4,99.8,35.2,25.2,0.0,0.0,0.0,0.0,0.1,0.0,2434.2,1060.2,76.0,34.7
08126,Hohenlohekreis,Landkreis,77.7,81.6,79.2,75.8,69.4,71.4,76.4,43.5,37.2,46.0,42.8,37.5,49.4,36.0,29.4,31.6,30.6,28.5,17.7,19.0,15.5,8.1,7.8,8.5,7.5,10.8,8.8,10.8,10.8,12.7,9.9,11.9,20.0,6.4,13.4,0.6,0.9,0.9,3.6,7.0,4.4,5.2,14.8,99.5,97.7,100.2,99.4,81.0,42.7,0.0,0.0,0.0,0.0,0.0,0.0,2540.8,1097.1,27.0,11.3
08127,Schwäbisch Hall,Landkreis,75.9,79.9,75.8,72.3,67.2,68.6,74.5,39.6,33.4,41.9,38.1,33.1,45.0,33.3,33.3,35.0,32.6,31.0,18.8,20.6,16.6,8.7,9.0,11.2,10.3,14.4,10.8,12.8,10.8,10.6,9.0,11.4,18.2,6.7,12.4,0.6,0.9,0.9,3.7,8.0,5.1,5.9,14.5,97.3,81.8,100.6,105.0,72.2,46.2,0.0,0.0,0.0,0.0,0.0,0.0,2598.5,1208.1,96.9,35.0
08128,Main-Tauber-Kreis,Landkreis,78.7,82.0,80.4,77.4,70.8,72.9,77.6,52.0,46.5,52.6,47.5,41.6,51.9,39.8,26.8,31.5,28.1,26.1,17.1,19.1,16.0,6.7,5.9,8.1,7.3,10.1,7.7,9.0,8.0,7.1,6.7,10.7,17.5,5.3,11.2,0.5,0.8,0.7,3.3,6.9,4.1,5.7,13.6,97.3,82.1,101.6,102.3,68.5,43.9,0.0,0.0,0.0,0.0,0.0,0.0,2634.5,1233.8,57.0,23.7
08135,Heidenheim,Landkreis,78.4,81.7,79.6,75.8,69.0,71.2,74.9,40.1,34.5,42.4,37.5,33.5,45.0,34.0,36.6,41.6,38.5,34.5,22.7,24.0,20.6,8.0,6.5,8.2,8.4,12.0,9.1,11.6,7.5,7.1,6.1,10.1,16.1,4.5,10.0,0.6,0.8,0.8,4.4,8.5,5.5,6.0,13.3,102.9,104.8,101.7,103.8,69.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,3548.8,1713.0,118.2,34.8
08136,Ostalbkreis,Landkreis,78.5,81.5,79.7,76.4,70.7,73.1,76.5,46.2,39.8,47.7,44.0,38.2,51.7,39.3,31.8,37.0,33.4,30.2,19.1,20.8,16.9,7.9,7.2,8.6,7.9,11.3,8.3,10.9,8.2,7.2,6.1,10.1,17.6,4.8,11.2,0.5,0.7,0.6,3.6,7.5,4.1,5.6,12.3,98.6,95.0,100.0,98.9,42.4,25.0,0.0,0.0,0.0,0.0,10.2,8.7,2862.3,1210.7,294.5,162.2
08211,Baden-Baden,krsfr. Stadt,77.2,81.1,78.5,75.6,70.2,71.2,74.9,46.7,42.5,44.2,40.7,37.8,47.3,37.3,26.2,31.4,31.6,28.9,17.3,19.1,15.8,9.1,9.1,11.2,10.8,13.6,11.0,13.2,12.8,10.9,9.2,13.0,20.1,8.3,13.8,0.9,1.1,1.1,3.7,6.8,4.4,6.1,10.7,107.7,124.7,101.4,108.5,28.8,20.1,0.0,0.0,0.0,0.0,0.0,0.0,3325.7,1521.1,50.0,34.5
08212,Karlsruhe,krsfr. Stadt,76.7,79.6,77.7,74.9,70.2,72.2,77.0,38.5,33.3,35.4,32.9,28.6,37.5,27.8,33.0,38.9,37.2,32.1,20.6,22.7,16.8,12.2,10.9,14.4,14.7,18.4,15.0,18.3,10.7,10.3,8.4,12.0,17.4,6.0,12.0,1.4,1.6,1.6,5.0,8.3,6.0,9.6,10.4,102.7,112.9,99.9,100.7,21.1,17.3,0.0,0.0,0.0,0.0,713.0,286.8,3144.0,1499.7,1678.4,833.3
08215,Karlsruhe,Landkreis,80.2,83.4,81.2,78.8,72.4,74.4,78.8,47.0,41.0,45.0,42.1,36.9,47.5,35.7,30.8,36.3,34.4,29.8,19.6,20.6,16.7,7.8,6.8,8.4,8.5,11.1,9.0,11.5,8.6,8.0,7.8,11.8,19.2,5.9,12.5,0.7,0.9,0.8,3.5,6.7,4.1,5.4,13.6,101.3,108.5,100.0,98.3,24.7,15.8,0.0,0.0,0.0,0.0,15.0,10.9,2081.7,958.2,3694.9,1874.8
08216,Rastatt,Landkreis,76.5,80.4,78.3,74.7,68.4,70.1,75.3,49.6,43.2,46.8,41.8,39.2,49.6,38.0,29.6,36.2,34.3,32.1,19.5,20.9,17.3,7.0,6.4,8.0,7.9,11.1,8.6,11.0,8.1,7.1,7.0,10.5,17.2,5.2,11.0,0.5,0.8,0.7,3.8,7.1,4.1,5.2,13.2,101.6,107.5,100.3,99.7,41.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,2370.7,1084.0,55.6,25.8
08221,Heidelberg,krsfr. Stadt,80.4,82.9,81.1,78.6,74.5,76.1,81.2,36.1,32.4,32.2,30.3,27.6,33.2,26.7,30.6,34.3,32.9,30.4,21.0,22.9,17.4,18.4,18.2,22.9,19.9,22.4,18.9,21.9,9.8,9.5,8.3,12.6,16.5,7.2,12.1,1.7,1.7,1.8,4.8,7.9,6.9,10.4,7.8,106.6,123.7,101.0,105.8,68.2,34.0,0.0,0.0,0.0,0.0,2726.9,1411.3,2745.9,1078.5,3361.1,1740.1
08222,Mannheim,krsfr. Stadt,75.4,79.0,75.0,72.3,66.7,68.4,72.3,38.1,33.0,34.4,31.1,29.0,35.1,27.1,38.5,43.9,41.3,37.1,24.7,27.5,21.2,9.7,8.4,12.0,10.9,13.6,11.1,13.2,7.1,6.1,7.1,9.9,15.0,5.5,11.2,1.4,1.5,1.6,6.6,11.3,7.5,9.1,12.8,104.4,114.6,101.6,102.5,55.1,30.6,0.0,0.0,0.0,0.0,184.1,124.3,3357.6,1491.8,622.0,291.9
08225,Neckar-Odenwald-Kreis,Landkreis,78.6,81.2,78.9,75.2,68.5,70.7,75.4,50.0,45.1,50.7,46.0,42.4,51.8,39.8,30.7,34.6,31.7,28.8,19.8,20.3,17.7,6.4,5.7,6.8,6.2,8.3,6.6,7.9,7.1,6.4,6.4,10.5,16.4,5.1,10.6,0.5,0.8,0.7,3.8,6.9,4.2,5.4,14.1,97.2,90.9,99.9,97.0,46.1,31.9,0.0,0.0,0.0,0.0,0.0,0.0,2934.6,1375.9,33.7,17.6
08226,Rhein-Neckar-Kreis,Landkreis,82.3,84.9,82.5,80.2,73.9,75.0,79.3,42.8,37.9,41.0,37.7,34.0,42.8,33.0,33.8,38.6,35.8,32.1,21.8,23.2,18.9,9.3,8.2,11.1,9.9,12.2,9.9,11.8,9.0,8.1,8.0,12.2,18.6,6.5,12.5,0.7,1.0,0.9,4.2,7.7,4.7,6.4,12.8,100.7,106.0,99.6,98.7,31.9,11.3,0.0,0.0,0.0,0.0,0.0,0.0,2435.7,1123.1,123.5,35.7
08231,Pforzheim,Landkreis,74.3,78.1,74.4,70.0,62.6,64.0,68.4,43.9,39.6,46.7,40.5,35.9,44.5,30.2,30.7,35.9,32.7,30.0,20.3,20.3,16.7,7.6,6.3,8.1,7.8,10.2,8.4,9.4,10.2,9.3,7.9,12.5,18.6,6.7,13.0,0.8,1.1,1.0,4.7,8.8,5.6,6.6,19.3,104.3,110.5,102.2,104.0,45.2,34.9,0.0,0.0,0.0,0.0,0.5,0.2,4506.2,2041.8,156.7,78.2
08235,Calw,Landkreis,77.9,82.2,79.5,77.3,71.7,73.6,77.2,45.6,40.5,47.3,42.6,37.7,50.7,37.7,27.3,32.0,29.5,26.7,17.8,17.6,14.3,8.2,7.3,9.4,8.4,10.4,7.9,10.3,11.3,10.2,8.1,12.9,20.1,6.2,13.0,0.7,0.9,0.8,3.4,6.8,4.2,5.3,15.2,100.6,103.8,99.8,99.8,87.8,56.0,0.0,0.0,0.0,0.0,0.0,0.0,2658.1,1130.1,25.0,14.3
08236,Enzkreis,Landkreis,80.0,83.6,81.9,79.3,73.0,75.7,79.5,40.9,35.1,41.9,38.5,33.8,45.4,33.9,32.5,38.3,35.4,31.6,19.9,20.1,16.1,8.6,7.6,9.4,8.7,12.1,9.2,11.4,10.3,9.6,8.3,12.7,20.2,7.3,13.9,0.6,1.0,0.8,3.7,6.7,4.1,4.8,14.9,99.7,101.3,100.0,97.8,35.5,14.3,0.0,0.0,0.0,0.0,0.2,0.0,1948.7,793.4,48.6,25.7
08237,Freudenstadt,Landkreis,76.0,80.1,78.2,74.9,69.1,71.0,75.8,46.4,41.5,49.8,44.0,38.5,51.7,36.4,27.9,32.2,29.1,26.5,17.0,17.7,14.6,6.7,6.7,8.2,7.5,10.1,7.3,9.4,11.5,9.8,7.6,12.9,20.3,6.7,16.0,0.6,0.8,0.8,3.1,6.7,4.1,4.9,14.7,96.7,85.2,100.3,99.6,6.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,2731.9,1135.1,50.4,27.0
08311,Freiburg im Breisgau,krsfr. Stadt,78.9,81.6,80.1,78.4,73.2,75.4,80.4,31.5,27.9,27.2,26.4,24.2,31.1,24.5,32.6,33.8,33.4,31.2,21.6,23.0,17.7,21.9,24.1,28.7,26.2,25.4,22.1,23.3,8.0,7.5,6.4,8.4,12.8,4.6,8.8,2.0,1.8,2.1,5.5,10.0,9.2,13.4,7.2,104.7,127.6,99.8,98.2,57.8,45.7,0.0,0.0,0.0,0.0,1278.5,660.3,2973.1,1421.4,3397.9,1505.4
08315,Breisgau-Hochschwarzwald,Landkreis,79.4,82.7,81.6,79.8,73.6,75.7,80.0,42.7,38.0,39.6,38.0,34.1,45.8,36.3,30.0,34.0,33.2,30.6,19.8,20.2,16.6,12.7,13.1,15.5,14.0,16.7,13.9,16.2,9.7,8.5,7.9,10.8,17.4,5.7,11.0,0.7,0.9,0.9,3.5,6.4,4.7,6.2,9.3,99.7,99.6,100.0,99.2,52.4,35.2,0.0,0.0,0.0,0.0,0.0,0.0,1872.2,846.7,44.9,20.0
08316,Emmendingen,Landkreis,77.7,80.8,80.3,77.5,71.1,73.4,78.7,38.8,35.4,37.8,35.3,32.4,44.0,35.2,35.9,39.4,37.8,33.9,21.2,22.0,18.4,11.1,11.2,13.4,13.1,16.0,13.2,14.9,9.2,7.2,7.1,10.2,16.7,5.0,10.5,0.7,0.9,0.9,3.9,7.3,4.8,6.2,10.0,99.7,101.9,99.4,98.4,44.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1806.9,832.3,66.4,36.9
08317,Ortenaukreis,Landkreis,75.2,78.0,77.3,73.5,67.3,68.7,74.4,47.5,42.4,45.7,41.3,37.7,48.3,37.3,30.2,35.3,33.0,29.7,18.3,19.5,16.8,8.6,8.2,9.5,9.7,13.0,10.6,13.2,8.3,6.9,7.0,11.1,17.5,5.6,11.0,0.6,1.0,0.8,4.2,7.7,4.6,5.3,12.0,99.5,96.8,100.7,99.2,93.8,71.4,0.0,0.0,0.0,0.0,1.2,0.6,2606.3,1099.0,69.0,34.6
08325,Rottweil,Landkreis,76.8,80.5,78.9,75.1,69.1,71.1,75.9,48.4,41.5,50.0,44.5,38.3,51.4,38.2,27.4,33.8,29.6,26.7,16.8,17.5,14.6,6.7,6.6,7.7,7.1,9.3,7.2,10.1,9.4,8.5,7.4,12.2,21.1,6.0,13.6,0.5,1.0,0.8,3.1,6.1,3.8,4.5,13.8,96.2,83.7,100.4,98.6,71.8,48.1,0.0,0.0,0.0,0.0,0.0,0.0,2661.0,1041.3,111.2,49.7
08326,Schwarzwald-Baar-Kreis,Landkreis,76.5,80.9,78.5,75.3,68.1,70.3,74.6,45.8,40.2,46.5,41.8,36.1,49.4,37.4,29.5,35.6,31.9,27.6,17.5,19.0,15.4,8.5,7.5,8.7,8.8,11.6,9.0,12.2,10.2,8.6,8.3,13.0,21.0,5.9,12.3,0.6,1.2,0.8,3.6,6.9,4.2,5.5,12.8,98.9,94.8,100.3,99.5,55.9,30.3,0.0,0.0,0.0,0.0,4.5,3.0,2928.9,1220.4,219.3,107.9
