KRS_15,AMR_12,AMR_20,ROR11,Bundesland_ID,AMR_15,Bund,Ost_West,ROR11_Name,KRS_15_Name,AMR_12_Name,Bundesland_ID_Name,AMR_20_Name,AMR_15_Name
08121,122,098,0803,08,122,1,1,Franken,Heilbronn,Heilbronn,Baden-Württemberg,Schwäbisch Hall,Heilbronn
08125,122,098,0803,08,122,1,1,Franken,Heilbronn,Heilbronn,Baden-Württemberg,Schwäbisch Hall,Heilbronn
08126,123,099,0803,08,123,1,1,Franken,Hohenlohekreis,Schwäbisch Hall,Baden-Württemberg,Main-Tauber-Kreis,Schwäbisch Hall
08127,123,100,0803,08,123,1,1,Franken,Schwäbisch Hall,Schwäbisch Hall,Baden-Württemberg,Heidenheim,Schwäbisch Hall
08128,124,101,0803,08,124,1,1,Franken,Main-Tauber-Kreis,Tauberbischofsheim,Baden-Württemberg,Ostalbkreis,Tauberbischofsheim
08135,125,102,0808,08,125,1,1,Ostwürttemberg,Heidenheim,Heidenheim,Baden-Württemberg,Baden-Baden,Heidenheim
08136,126,103,0808,08,126,1,1,Ostwürttemberg,Ostalbkreis,Aalen,Baden-Württemberg,Karlsruhe,Aalen
08211,127,104,0805,08,127,1,1,Mittlerer Oberrhein,Baden-Baden,Baden-Baden,Baden-Württemberg,Mannheim,Baden-Baden
08212,128,105,0805,08,128,1,1,Mittlerer Oberrhein,Karlsruhe,Karlsruhe,Baden-Württemberg,Neckar-Odenwald-Kreis,Karlsruhe
08215,128,105,0805,08,128,1,1,Mittlerer Oberrhein,Karlsruhe,Karlsruhe,Baden-Württemberg,Neckar-Odenwald-Kreis,Karlsruhe
08216,127,104,0805,08,127,1,1,Mittlerer Oberrhein,Rastatt,Baden-Baden,Baden-Württemberg,Mannheim,Baden-Baden
08221,129,106,0812,08,129,1,1,Unterer Neckar,Heidelberg,Heidelberg,Baden-Württemberg,Pforzheim,Heidelberg
08222,130,106,0812,08,130,1,1,Unterer Neckar,Mannheim,Mannheim,Baden-Württemberg,Pforzheim,Mannheim
